,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
244,the united states should restrict immigration,"[unit, state, restrict, immigr]",0.0,0.0,,[],0.0,0.0
245,the united states should not have entered ww1,"[unit, state, enter, ww1]",0.0,0.0,,[],0.0,0.0
246,the united states should not be world police,"[unit, state, world, polic]",0.0,0.0,,[],0.0,0.0
247,the united states should lower the voting age,"[unit, state, lower, vote, age]",0.0,0.0,,[],0.0,0.0
248,the united states should annex cuba,"[unit, state, annex, cuba]",0.0,0.0,,[],0.0,0.0
249,the united states should not join the icc,"[unit, state, join, icc]",0.0,0.0,,[],0.0,0.0
250,the united states should not abolish prisons,"[unit, state, abolish, prison]",0.0,0.0,,[],0.0,0.0
251,the united states should stay out of iraq,"[unit, state, stay, iraq]",0.0,0.0,,[],0.0,0.0
252,the united states should intervene in syria,"[unit, state, interven, syria]",0.0,0.0,,[],0.0,0.0
253,the united states should take away all guns,"[unit, state, take, away, gun]",0.0,0.0,,[],0.0,0.0
254,the united states should do air strikes,"[unit, state, air, strike]",0.0,0.0,,[],0.0,0.0
255,the united states is going to collapse,"[unit, state, go, collaps]",0.0,0.0,,[],0.0,0.0
256,the united states is going deeper into debt,"[unit, state, go, deeper, debt]",0.0,0.0,,[],0.0,0.0
257,what is the united states doing to go green,"[unit, state, go, green]",0.0,0.0,,[],0.0,0.0
258,what is the united states doing about ebola,"[unit, state, ebola]",0.0,0.0,,[],0.0,0.0
259,what is the united states doing to stop isis,"[unit, state, stop, isi]",0.0,0.0,,[],0.0,0.0
260,the united states should ban death penalty,"[unit, state, ban, death, penalti]",0.0,0.0,,[],0.0,0.0
261,the united states is multicultural because,"[unit, state, multicultur]",0.0,0.0,,[],0.0,0.0
262,the united states is a corporation,"[unit, state, corpor]",0.0,0.0,,[],0.0,0.0
263,the united states is a republic,"[unit, state, republ]",0.0,0.0,,[],0.0,0.0
264,the united states is not a democracy,"[unit, state, democraci]",0.0,0.0,,[],0.0,0.0
265,the united states is a plutocracy,"[unit, state, plutocraci]",0.0,0.0,,[],0.0,0.0
266,the united states is a third world country,"[unit, state, third, world, countri]",0.0,0.0,,[],0.0,0.0
267,the united states is a democracy,"[unit, state, democraci]",0.0,0.0,,[],0.0,0.0
268,the united states is an example of,"[unit, state, exampl]",0.0,0.0,,[],0.0,0.0
269,the united states is a constitutional weegy,"[unit, state, constitut, weegi]",0.0,0.0,,[],0.0,0.0
270,the united states is a sick country,"[unit, state, sick, countri]",0.0,0.0,,[],0.0,0.0
271,the united states is third in murders,"[unit, state, third, murder]",0.0,0.25,,[],0.0,0.0
272,the united states is an ldc or mdc,"[unit, state, ldc, mdc]",0.0,0.0,,[],0.0,0.0
273,the united states is a melting pot,"[unit, state, melt, pot]",0.0,0.0,,[],0.0,0.0
274,the united states is a mixed economy because,"[unit, state, mix, economi]",0.0,0.0,,[],0.0,0.0
275,the united states is a federal corporation,"[unit, state, feder, corpor]",0.0,0.0,,[],0.0,0.0
276,the united states is the capitalized,"[unit, state, capit]",0.0,0.0,,[],0.0,0.0
277,the united states is a true democracy.,"[unit, state, true, democraci]",0.25,0.0,,[],0.0,0.0
278,the united states is not an empire,"[unit, state, empir]",0.0,0.0,,[],0.0,0.0
279,the united states is not a federal republic,"[unit, state, feder, republ]",0.0,0.0,,[],0.0,0.0
280,the united states is a dual court system,"[unit, state, dual, court, system]",0.0,0.0,,[],0.0,0.0
281,the united states is a constitutional .,"[unit, state, constitut]",0.0,0.0,,[],0.0,0.0
282,the united states is an oligarchy,"[unit, state, oligarchi]",0.0,0.0,,[],0.0,0.0
283,the united states is a major exporter of,"[unit, state, major, export]",0.0,0.0,,[],0.0,0.0
284,the united states is babylon,"[unit, state, babylon]",0.0,0.0,,[],0.0,0.0
285,the united states is known for,"[unit, state, known]",0.0,0.0,,[],0.0,0.0
